subset_size,label,precision,recall,f1-score,support
1,CHAR,0.0,0.0,0.0,820
1,LOC,0.0,0.0,0.0,216
1,ORG,0.0,0.0,0.0,2
1,micro avg,0.0,0.0,0.0,1038
1,macro avg,0.0,0.0,0.0,1038
1,weighted avg,0.0,0.0,0.0,1038
2,CHAR,0.8703703703703703,0.0573170731707317,0.1075514874141876,820
2,LOC,0.0,0.0,0.0,216
2,ORG,0.0,0.0,0.0,2
2,micro avg,0.8703703703703703,0.0452793834296724,0.0860805860805861,1038
2,macro avg,0.2901234567901234,0.0191056910569105,0.0358504958047292,1038
2,weighted avg,0.6875758224505816,0.0452793834296724,0.0849636027742137,1038
5,CHAR,0.8732394366197183,0.0756097560975609,0.1391694725028058,820
5,LOC,0.0,0.0,0.0,216
5,ORG,0.0,0.0,0.0,2
5,micro avg,0.8732394366197183,0.0597302504816955,0.1118124436429215,1038
5,macro avg,0.2910798122065727,0.0252032520325203,0.0463898241676019,1038
5,weighted avg,0.6898423295069065,0.0597302504816955,0.1099412017844901,1038
8,CHAR,0.7641509433962265,0.098780487804878,0.1749460043196544,820
8,LOC,0.0,0.0,0.0,216
8,ORG,0.0,0.0,0.0,2
8,micro avg,0.7641509433962265,0.0780346820809248,0.1416083916083916,1038
8,macro avg,0.2547169811320754,0.0329268292682926,0.0583153347732181,1038
8,weighted avg,0.603664521758098,0.0780346820809248,0.1382039725839274,1038
10,CHAR,0.6928571428571428,0.1182926829268292,0.2020833333333333,820
10,LOC,0.0,0.0,0.0,216
10,ORG,0.0,0.0,0.0,2
10,micro avg,0.6928571428571428,0.0934489402697495,0.1646859083191851,1038
10,macro avg,0.2309523809523809,0.039430894308943,0.0673611111111111,1038
10,weighted avg,0.5473437930085329,0.0934489402697495,0.1596419396274887,1038
15,CHAR,0.5718157181571816,0.2573170731707317,0.3549201009251472,820
15,LOC,0.0,0.0,0.0,216
15,ORG,0.0,0.0,0.0,2
15,micro avg,0.5718157181571816,0.2032755298651252,0.2999289267945984,1038
15,macro avg,0.1906052393857271,0.0857723577235772,0.1183067003083824,1038
15,weighted avg,0.4517233997002783,0.2032755298651252,0.2803800411932762,1038
20,CHAR,0.5235361653272101,0.5560975609756098,0.5393258426966293,820
20,LOC,0.0,0.0,0.0,216
20,ORG,0.0,0.0,0.0,2
20,micro avg,0.5235361653272101,0.4393063583815029,0.4777370350969094,1038
20,macro avg,0.17451205510907,0.1853658536585366,0.1797752808988764,1038
20,weighted avg,0.4135834832064666,0.4393063583815029,0.4260570240956031,1038
30,CHAR,0.4967381174277726,0.65,0.5631273111463285,820
30,LOC,0.0,0.0,0.0,216
30,ORG,0.0,0.0,0.0,2
30,micro avg,0.4967381174277726,0.5134874759152216,0.5049739459971577,1038
30,macro avg,0.1655793724759242,0.2166666666666666,0.1877091037154428,1038
30,weighted avg,0.3924135417059475,0.5134874759152216,0.4448597255683905,1038
40,CHAR,0.5065913370998116,0.6560975609756098,0.5717321997874601,820
40,LOC,0.0,0.0,0.0,216
40,ORG,0.0,0.0,0.0,2
40,micro avg,0.5065913370998116,0.5183044315992292,0.5123809523809524,1038
40,macro avg,0.1688637790332705,0.2186991869918699,0.1905773999291533,1038
40,weighted avg,0.4001973953967683,0.5183044315992292,0.4516574217974155,1038
60,CHAR,0.5461538461538461,0.6060975609756097,0.5745664739884393,820
60,LOC,0.8333333333333334,0.0231481481481481,0.045045045045045,216
60,ORG,0.0,0.0,0.0,2
60,micro avg,0.5480349344978166,0.4836223506743738,0.5138178096212898,1038
60,macro avg,0.4598290598290598,0.2097485697079193,0.2065371730111614,1038
60,weighted avg,0.6048614198903216,0.4836223506743738,0.4632699791909923,1038
80,CHAR,0.5978915662650602,0.4841463414634146,0.5350404312668464,820
80,LOC,0.2777777777777778,0.5787037037037037,0.3753753753753754,216
80,ORG,0.0,0.0,0.0,2
80,micro avg,0.4685816876122082,0.5028901734104047,0.4851301115241635,1038
80,macro avg,0.2918897813476127,0.3542833483890394,0.3034719355474073,1038
80,weighted avg,0.5301262854887759,0.5028901734104047,0.5007844265124232,1038
100,CHAR,0.5793103448275863,0.6146341463414634,0.5964497041420119,820
100,LOC,0.4102564102564102,0.5185185185185185,0.4580777096114519,216
100,ORG,0.0,0.0,0.0,2
100,micro avg,0.5389326334208224,0.5934489402697495,0.5648784961027051,1038
100,macro avg,0.3298555850279988,0.3777175549533273,0.3515091379178212,1038
100,weighted avg,0.5430152864874811,0.5934489402697495,0.56650630315272,1038
140,CHAR,0.6014851485148515,0.5926829268292683,0.597051597051597,820
140,LOC,0.371501272264631,0.6759259259259259,0.4794745484400656,216
140,ORG,0.0,0.0,0.0,2
140,micro avg,0.5262281432139884,0.6088631984585742,0.564537740062528,1038
140,macro avg,0.3243288069264942,0.4228696175850647,0.3588420484972208,1038
140,weighted avg,0.5524683011477249,0.6088631984585742,0.5714343083288668,1038
180,CHAR,0.600451467268623,0.6487804878048781,0.6236811254396248,820
180,LOC,0.542713567839196,0.5,0.5204819277108433,216
180,ORG,0.0,0.0,0.0,2
180,micro avg,0.5898617511520737,0.6165703275529865,0.6029203956665096,1038
180,macro avg,0.3810550117026063,0.3829268292682927,0.3813876843834894,1038
180,weighted avg,0.5872797050226755,0.6165703275529865,0.6010044501406883,1038
230,CHAR,0.5731441048034934,0.6402439024390244,0.6048387096774194,820
230,LOC,0.5841121495327103,0.5787037037037037,0.5813953488372092,216
230,ORG,0.0,0.0,0.0,2
230,micro avg,0.5752212389380531,0.626204238921002,0.5996309963099631,1038
230,macro avg,0.3857520847787345,0.4063158687142427,0.3954113528382095,1038
230,weighted avg,0.5743221485914548,0.626204238921002,0.5987949299463594,1038
300,CHAR,0.5652591170825336,0.7182926829268292,0.6326530612244898,820
300,LOC,0.7777777777777778,0.6157407407407407,0.6873385012919896,216
300,ORG,0.0,0.0,0.0,2
300,micro avg,0.5952184666117065,0.6955684007707129,0.641492669924478,1038
300,macro avg,0.4476789649534371,0.44467780788919,0.4399971875054931,1038
300,weighted avg,0.6083935221653927,0.6955684007707129,0.642813705667776,1038
500,CHAR,0.5882946518668012,0.7109756097560975,0.6438431805632246,820
500,LOC,0.7942857142857143,0.6435185185185185,0.710997442455243,216
500,ORG,0.0,0.0,0.0,2
500,micro avg,0.6192109777015438,0.6955684007707129,0.6551724137931034,1038
500,macro avg,0.4608601220508384,0.4514980427582054,0.4516135410061559,1038
500,weighted avg,0.6300263283395869,0.6955684007707129,0.6565769322082626,1038
700,CHAR,0.615625,0.7207317073170731,0.6640449438202246,820
700,LOC,0.8353658536585366,0.6342592592592593,0.7210526315789474,216
700,ORG,0.0,0.0,0.0,2
