subset_size,train_loss,eval_loss,accuracy,f1_score,report
1,0.3024325668811798,0.8893450485335456,0.9479808612440191,0.0108527131782945,"{'CHAR': {'precision': 0.03414634146341464, 'recall': 0.00853658536585366, 'f1-score': 0.013658536585365854, 'support': 820}, 'LOC': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 216}, 'ORG': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.027777777777777776, 'recall': 0.00674373795761079, 'f1-score': 0.010852713178294573, 'support': 1038}, 'macro avg': {'precision': 0.011382113821138212, 'recall': 0.002845528455284553, 'f1-score': 0.0045528455284552845, 'support': 1038}, 'weighted avg': {'precision': 0.026974951830443163, 'recall': 0.006743737957610791, 'f1-score': 0.010789980732177263, 'support': 1038}}"
2,0.1414264738559723,0.4789588941468133,0.958354066985646,0.108348134991119,"{'CHAR': {'precision': 0.6931818181818182, 'recall': 0.07439024390243902, 'f1-score': 0.1343612334801762, 'support': 820}, 'LOC': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 216}, 'ORG': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.6931818181818182, 'recall': 0.05876685934489403, 'f1-score': 0.108348134991119, 'support': 1038}, 'macro avg': {'precision': 0.23106060606060608, 'recall': 0.024796747967479674, 'f1-score': 0.0447870778267254, 'support': 1038}, 'weighted avg': {'precision': 0.5476002802592399, 'recall': 0.05876685934489403, 'f1-score': 0.10614278560090991, 'support': 1038}}"
5,0.0514300912618637,0.3042218360635969,0.9589282296650716,0.1098109810981098,"{'CHAR': {'precision': 0.8356164383561644, 'recall': 0.07439024390243902, 'f1-score': 0.13661814109742443, 'support': 820}, 'LOC': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 216}, 'ORG': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.8356164383561644, 'recall': 0.05876685934489403, 'f1-score': 0.10981098109810981, 'support': 1038}, 'macro avg': {'precision': 0.2785388127853881, 'recall': 0.024796747967479674, 'f1-score': 0.045539380365808145, 'support': 1038}, 'weighted avg': {'precision': 0.6601208857919603, 'recall': 0.05876685934489403, 'f1-score': 0.10792569913284011, 'support': 1038}}"
8,0.0249609630554914,0.1994876152939266,0.9591961722488038,0.1115107913669064,"{'CHAR': {'precision': 0.8378378378378378, 'recall': 0.07560975609756097, 'f1-score': 0.13870246085011184, 'support': 820}, 'LOC': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 216}, 'ORG': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.8378378378378378, 'recall': 0.05973025048169557, 'f1-score': 0.11151079136690648, 'support': 1038}, 'macro avg': {'precision': 0.27927927927927926, 'recall': 0.025203252032520326, 'f1-score': 0.046234153616703945, 'support': 1038}, 'weighted avg': {'precision': 0.6618757485809509, 'recall': 0.05973025048169557, 'f1-score': 0.10957227157715965, 'support': 1038}}"
10,0.0110172014683485,0.1735616299841139,0.959464114832536,0.1198568872987477,"{'CHAR': {'precision': 0.8375, 'recall': 0.08170731707317073, 'f1-score': 0.1488888888888889, 'support': 820}, 'LOC': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 216}, 'ORG': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.8375, 'recall': 0.06454720616570328, 'f1-score': 0.11985688729874776, 'support': 1038}, 'macro avg': {'precision': 0.2791666666666667, 'recall': 0.02723577235772358, 'f1-score': 0.049629629629629635, 'support': 1038}, 'weighted avg': {'precision': 0.6616088631984586, 'recall': 0.06454720616570328, 'f1-score': 0.11761935345750375, 'support': 1038}}"
15,0.035004548728466,0.1609303972787327,0.9596937799043064,0.130281690140845,"{'CHAR': {'precision': 0.7551020408163265, 'recall': 0.09024390243902439, 'f1-score': 0.16122004357298475, 'support': 820}, 'LOC': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 216}, 'ORG': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.7551020408163265, 'recall': 0.07129094412331406, 'f1-score': 0.13028169014084506, 'support': 1038}, 'macro avg': {'precision': 0.25170068027210885, 'recall': 0.030081300813008128, 'f1-score': 0.05374001452432825, 'support': 1038}, 'weighted avg': {'precision': 0.5965160630726278, 'recall': 0.07129094412331406, 'f1-score': 0.1273607280634369, 'support': 1038}}"
20,0.0428298749029636,0.1416821695036358,0.960535885167464,0.1748366013071895,"{'CHAR': {'precision': 0.572972972972973, 'recall': 0.12926829268292683, 'f1-score': 0.2109452736318408, 'support': 820}, 'LOC': {'precision': 1.0, 'recall': 0.004629629629629629, 'f1-score': 0.009216589861751152, 'support': 216}, 'ORG': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.5752688172043011, 'recall': 0.10308285163776493, 'f1-score': 0.17483660130718953, 'support': 1038}, 'macro avg': {'precision': 0.5243243243243243, 'recall': 0.044632640770852154, 'f1-score': 0.07338728783119731, 'support': 1038}, 'weighted avg': {'precision': 0.6607300942561058, 'recall': 0.10308285163776493, 'f1-score': 0.16856060480563362, 'support': 1038}}"
30,0.0462212786078453,0.1312732342216703,0.963291866028708,0.3188976377952756,"{'CHAR': {'precision': 0.5, 'recall': 0.29634146341463413, 'f1-score': 0.3721286370597243, 'support': 820}, 'LOC': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 216}, 'ORG': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.5, 'recall': 0.23410404624277456, 'f1-score': 0.3188976377952756, 'support': 1038}, 'macro avg': {'precision': 0.16666666666666666, 'recall': 0.09878048780487804, 'f1-score': 0.12404287901990811, 'support': 1038}, 'weighted avg': {'precision': 0.394990366088632, 'recall': 0.23410404624277456, 'f1-score': 0.29397445316856835, 'support': 1038}}"
40,0.0424890033900737,0.1288740421334902,0.9654736842105264,0.4160624651422197,"{'CHAR': {'precision': 0.49403973509933774, 'recall': 0.4548780487804878, 'f1-score': 0.47365079365079366, 'support': 820}, 'LOC': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 216}, 'ORG': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.49403973509933774, 'recall': 0.35934489402697495, 'f1-score': 0.41606246514221973, 'support': 1038}, 'macro avg': {'precision': 0.16467991169977925, 'recall': 0.15162601626016262, 'f1-score': 0.15788359788359788, 'support': 1038}, 'weighted avg': {'precision': 0.39028187165843636, 'recall': 0.35934489402697495, 'f1-score': 0.37417500076459614, 'support': 1038}}"
60,0.0604600086808204,0.1250441398885515,0.965933014354067,0.4011799410029498,"{'CHAR': {'precision': 0.517774343122102, 'recall': 0.40853658536585363, 'f1-score': 0.4567143830947512, 'support': 820}, 'LOC': {'precision': 0.5, 'recall': 0.023148148148148147, 'f1-score': 0.04424778761061947, 'support': 216}, 'ORG': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.517503805175038, 'recall': 0.32755298651252407, 'f1-score': 0.4011799410029498, 'support': 1038}, 'macro avg': {'precision': 0.339258114374034, 'recall': 0.14389491117133393, 'f1-score': 0.16698739023512355, 'support': 1038}, 'weighted avg': {'precision': 0.5130779974567665, 'recall': 0.32755298651252407, 'f1-score': 0.37000319485702293, 'support': 1038}}"
